timestamp,open,high,low,close,volume
2025-07-04,3401.1001,3426.0000,3388.6499,3420.9500,170988
2025-07-03,3434.8999,3435.0000,3398.1499,3400.7500,113506
2025-07-02,3450.0500,3489.8501,3420.1001,3423.3501,54493
2025-07-01,3460.9500,3485.0000,3414.4500,3429.4500,221565
2025-06-30,3444.9500,3465.0000,3430.1499,3461.0500,80588
2025-06-27,3455.0000,3466.6499,3430.7500,3443.1499,35961
2025-06-26,3447.2500,3451.0000,3416.0000,3441.6499,60021
2025-06-25,3409.6001,3449.8999,3400.8999,3445.6499,18541
2025-06-24,3430.5000,3442.8000,3382.3999,3390.2000,771522
2025-06-23,3414.3000,3429.3000,3370.1001,3393.3999,136998
2025-06-20,3424.3501,3445.6001,3408.5000,3434.3501,419497
2025-06-19,3448.7000,3452.0000,3413.3501,3424.2500,53098
2025-06-18,3524.3501,3539.4500,3443.6499,3452.2000,51232
2025-06-17,3510.0000,3522.3000,3488.2000,3515.2500,570631
2025-06-16,3423.2500,3508.2000,3423.2500,3495.3501,237333
2025-06-13,3400.0000,3450.0000,3392.7500,3447.1001,64111
2025-06-12,3477.0000,3477.0000,3423.1001,3433.9500,180783
2025-06-11,3465.1499,3489.2000,3450.0000,3472.1499,111532
2025-06-10,3440.0000,3485.0000,3424.0000,3463.5000,313572
2025-06-09,3394.3000,3435.2500,3390.0500,3423.7000,159154
2025-06-06,3371.9500,3390.0000,3358.0000,3385.7000,147321
2025-06-05,3429.2500,3429.3000,3364.2000,3371.9500,62839
2025-06-04,3388.9500,3395.8999,3370.6001,3380.5500,107633
2025-06-03,3449.9500,3472.4500,3399.3999,3405.0500,919365
2025-06-02,3462.7000,3462.7000,3418.3000,3449.8000,163215
2025-05-30,3502.2500,3502.3000,3452.3999,3464.5000,55453
2025-05-29,3500.0500,3531.8999,3486.2000,3497.2000,60523
2025-05-28,3512.0000,3526.4500,3492.9500,3498.1499,44196
2025-05-27,3537.3501,3538.8000,3481.8501,3498.8999,545274
2025-05-26,3525.0000,3545.3501,3508.8999,3538.0500,120342
